"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"gfkk","iekj","hgkk","fgkk","hckk","jfjk","ggkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","bejk","ffkj","fcjk","dckk","cgjk","dgjk","egkk","ifkj","hckk","gckk","ickj","ggkk",NA,NA
"gfkk","dfkj","dfjk","fekj","dekk","fekk","efkk","cgkk","ggjk","hckk","dgjk","hgkk",NA,NA,NA
"gfkk","cfkj","dfkk","gfjk","ickk","gfkj","hgkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","ifkj","igkk","gfjk","ffkk","hekk","hdkk","hgkk",NA,NA,NA,NA,NA,NA,NA
"gfkk","ccjk","eckk","cckk","dckj","igkk","ffjk","dgkj","gfjk","hgkk",NA,NA,NA,NA,NA
"gfkk","cckk","hckj","gfjk","dfkj","dfjk","dgkj","dgjk",NA,NA,NA,NA,NA,NA,NA
"gfkk","fdkk","gejk","efkk","fgkk","igkj","cgkj","efkj","dgjk",NA,NA,NA,NA,NA,NA
"gfkk","ickk","eckj","fckk","dcjk","ifkk","dgjk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","fdkk","hekk","cekk","bekk","ffkj","gckk","hckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","gekk","fekj","dekk","cekk","ffkk","gfkj","hckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","bfkk","gekk","egkk","fgkj","gckk","gckj","hckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","fdkj","gekk","bfkk","fekk","hgkk","dfkj","efkj","hckk",NA,NA,NA,NA,NA,NA
"gfkk","gekj","cgkk","gfjk","dfkj","ifkk","jfkk","hckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","cekj","dekk","fekk","iekk","ifkk","cgkk","dckj","hckk",NA,NA,NA,NA,NA,NA
"gfkk","cekk","ifkj","igkk","gfjk","ickk","eckj","hckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","hekj","cekk","hekk","ffkk","fejk","hckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","bekk","cekk","cejk","gekk","hekk","ifkj","ggkk","cckk","hckj","eckk","hckk",NA,NA,NA
"gfkk","dejk","ifkk","ggkj","fckk","eckk","jckk","hckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","bfjk","ggkk","dfkk","eckk","cckk","hckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","fejk","hfkk","cckk","hcjk","jckk","hckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","icjk","ggjk","cgkk","gfjk","dgjk","dgkj",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","ccjk","gfkj","gfjk","dgkk","cfkj","efkj","dgkj",NA,NA,NA,NA,NA,NA,NA
"gfkk","dekj","cekk","ffkk","dgkk","cgjk","dgkj",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","bekk","cekk","cejk","gekk","egkk","dgkj",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","fekk","hekk","ifkj","hckk","ggkj","dgkj",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","fekj","dekk","cfkk","gfjk","dfkj","efkj","dgkj",NA,NA,NA,NA,NA,NA,NA
"gfkk","hekj","cekk","hekk","hfkj","gckj","ickk","ggkk","cgjk","dgkj",NA,NA,NA,NA,NA
"gfkk","fckk","dckj","igkk","gfjk","ickk","gfkj","dgkj",NA,NA,NA,NA,NA,NA,NA
"gfkk","hfkj","cekk","hejk","iekk","gdkk","hfkk","ggkj","cckk",NA,NA,NA,NA,NA,NA
"gfkk","ifkk","hfjk","cekk","bekk","ffkj","fcjk","eckk","cckk",NA,NA,NA,NA,NA,NA
"gfkk","cckj","fgkj","eekk","gejk","efkk","dfkk","cckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","efkj","cfkj","dfkk","egkk","hgjk","cckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","hekk","fekk","efkk","gckk","hckk","cckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","fdkk","gekk","hekk","gdkj","hgkk","dfjk","gfjk","cckk",NA,NA,NA,NA,NA,NA
"gfkk","fdkj","gekk","fdkk","hfkk","hgkk","ickk","cckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","hejk","dfkk","ffjk","gckk","ickk","eckk","cckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","cgjk","fekk","hekk","ffkk","gckj","cckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","ifjk","efkk","cfjj","cfkk","gfjk","fckk","eckk","fckj","cckk",NA,NA,NA,NA,NA
"gfkk","ffkj","cfkk","hfkj","cgkk","gfjk","igkk","dfkj","efkj","fckk","hckk","dgjk","cckk",NA,NA
"gfkk","dekj","cekk","bfkk","gekk","egkk","hfkk","ecjk","cckk",NA,NA,NA,NA,NA,NA
"gfkk","hekj","cekk","hekk","igkk","gckk","cckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","cejk","hekk","dfkk","cckj","hckk","cckk",NA,NA,NA,NA,NA,NA,NA,NA
