"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"gckk","cfkj","eckj","efjj","dbjj","ebjj","cckj","fgjk","bekk","cgjk","ggkj","fekk","hckk",NA,NA,NA,NA
"gckk","fdkj","dbjj","ffkj","cejk","cfjk","ffjk","gekk","hfkj","hckk",NA,NA,NA,NA,NA,NA,NA
"gckk","cdkk","ffkj","bekk","dgkk","ifkk","hfkj","fekj","hckk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cgkj","gekk","ifkj","dfjk","hfkj","fekk","hckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bgkk","gfkj","bekk","cgkk","hfkj","idkk","hckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bfjk","cgkj","hgkj","iekk","cejk","cekk","cfkj","efkk","gckj","dfjk","egkj","hckk",NA,NA,NA,NA
"gckk","fdkj","ffkk","dfjk","cgkj","gcjk","eckk","cdkk","hdjk","hckk",NA,NA,NA,NA,NA,NA,NA
"gckk","igjk","gfkk","ifkj","hgjk","fgkj","efkk","ickk","gdkk","idkk","hckk",NA,NA,NA,NA,NA,NA
"gckk","ifjk","dfkk","gfjk","hfkj","hfjk","fckj","ecjk","hckk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ggjk","cgjk","dgkk","ffkj","efkk","cdjk","hckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ccjk","hfkj","iejk","cgjk","cfkj","eckj","efjj","dbjj","ebjj","cckj","fcjk",NA,NA,NA,NA,NA
"gckk","ifkj","hekk","bekk","dgkk","cckk","cbjj","fcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ecjk","gckj","dgjk","egkk","eejk","dgkj","bckk","efkk","cekk","fcjk",NA,NA,NA,NA,NA,NA
"gckk","egjk","efkj","bekk","ggkk","gekj","bfkk","dgkj","ickk","fcjk",NA,NA,NA,NA,NA,NA,NA
"gckk","cgkj","gfkj","ggkk","hekk","ifkj","dfjk","fcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cfjk","ffjk","dfkk","bcjk","fgkj","ggkj","fcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cgjk","cgkj","bekk","cfjk","gfkj","fejk","ggkk","hckk","fcjk",NA,NA,NA,NA,NA,NA,NA
"gckk","efkj","bejk","gekk","cejk","hfkk","ggjk","eckk","fcjk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fgjk","cfkj","cekk","iekk","cgjk","egkj","fckj","ecjk","cdkk","ffkj","cbjj","fcjk",NA,NA,NA,NA
"gckk","ickj","dgjk","fgkj","cgjk","dckj","hcjk","fcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","jfkk","dcjk","hckj","dfkk","fgkk","eekj","cckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cgkj","hgkj","iekk","cgjk","cfkj","eckj","cckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","hckk","ggkj","fejk","cekk","cekj","dekk","cckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ifkk","gfjk","ggjk","cgjk","cekk","ggkj","fekk","cckk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cfkk","ffjk","gekk","ifkj","gcjk","hckk","cckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fgjk","bekk","gekk","dfkk","gfjk","cckj","cckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cfjk","gfkj","fekj","dekk","dejk","cgjk","egkj","fckj","dcjk",NA,NA,NA,NA,NA,NA,NA
"gckk","hgkj","iekk","cejk","cekk","hekk","hgkk","dcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ifjk","dfkk","cgkj","gfkj","eckk","ffkj","dcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","egjk","efkj","bekk","cfjk","cekk","iekk","cgjk","dckj","dcjk",NA,NA,NA,NA,NA,NA,NA
"gckk","dgjk","fgkj","bekk","dgkk","ffkj","fekk","dcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cgkj","gekk","dekk","iekk","cfjk","ffjk","cckj","eckj","fckj","ickk","dcjk",NA,NA,NA,NA,NA
"gckk","egkk","fckj","ecjk","cdkk","edjk","cdjk","eckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","efkj","bekk","gekk","hfkj","fekk","cfjk","dckk","eckk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bdkk","fckk","hfkj","cekk","iekk","ggjk","cdkk","edkk","cdjk","eckk",NA,NA,NA,NA,NA,NA
"gckk","hgkj","iekk","cejk","cekk","hfkj","gekk","efkk","ggjk","eckk",NA,NA,NA,NA,NA,NA,NA
"gckk","ffjk","gfjk","hfkj","hekk","ifkj","dcjk","hckj","eckk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bgkk","gfkj","fekj","dekk","dejk","cgjk","eckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ccjk","hfkj","fgjk","efkk","fekk","dfkj","gfjk","cckk","eckj","eckk",NA,NA,NA,NA,NA,NA
